0.5,        1,          2,        0.5,          1,      0.25,       0.03,       0.25,       0.25,       0.5,        0.03,       0.5
1,          2,          4,          1,          2,      0.5,        0.06,       0.5,        0.5,        1,          0.06,       1
2,          4,          8,          2,          4,      1,          0.12,       1,          1,          2,          0.12,       2 
4,          8,          16,         4,          8,      2,          0.25,       2,          2,          4,          0.25,       4
0.5,        0.5,        0.12,       0.5,        16,     4,          0.5,        4,          4,          8,          0.5,        8
1,          1,          0.25,       1,          4,      0,          1,          8,          8,          16,         1,          256
2,          2,          0.5,        2,          8,      0,          0.25,       0.5,        1,          2,          0,          0
4,          4,          1,          4,          16,     1,          2,          4,          8,          6,          0,          0
